timestamp,open,high,low,close,volume,netflow_total,exchange_whale_ratio,funding_rates,average_dormancy,sa_average_dormancy
2024-07-03,62135.4600000000,62285.9400000000,59400.0000000000,60208.5800000000,32160.1112700000,1144.4429269600,0.4242776900,0.0100000000,34.9809905200,0.0000017700
2024-07-04,60208.5700000000,60498.1900000000,56771.0000000000,57050.0100000000,54568.7727600000,3505.4828447600,0.4719439400,0.0100000000,17.3746038200,0.0000008800
2024-07-05,57050.0200000000,57546.0000000000,53485.9300000000,56628.7900000000,81348.2475600000,-1324.6421524700,0.3620939000,0.0067699800,43.5336723200,0.0000022100
2024-07-06,56628.7900000000,58475.0000000000,56018.0000000000,58230.1300000000,21651.3155800000,-926.6974976700,0.4432038900,0.0052677800,7.1310127700,0.0000003600
2024-07-07,58230.1300000000,58449.4600000000,55724.3700000000,55857.8100000000,19118.9391800000,-1137.4219740400,0.5626042700,0.0098942700,12.0364949000,0.0000006100
2024-07-08,55857.8100000000,58236.7300000000,54260.1600000000,56714.6200000000,48090.2049000000,2315.7970841200,0.4384734800,0.0089084100,6.0795326100,0.0000003100
2024-07-09,56714.6100000000,58296.0000000000,56289.4500000000,58050.0000000000,27732.2078800000,1630.2202388300,0.4610481100,0.0080483400,24.9559196000,0.0000012700
2024-07-10,58050.0000000000,59470.0000000000,57157.7900000000,57725.8500000000,24951.7379900000,-16.2063530100,0.3969145500,0.0089975300,19.0941715400,0.0000009700
2024-07-11,57725.8500000000,59650.0000000000,57050.0000000000,57339.8900000000,29761.0573500000,3036.7759532500,0.3712704000,0.0090316900,5.7186323200,0.0000002900
2024-07-12,57339.8900000000,58526.6800000000,56542.4700000000,57889.1000000000,23652.4569000000,-1036.9735740100,0.4875413500,0.0056975000,10.9585633400,0.0000005600
2024-07-13,57889.0900000000,59850.0000000000,57756.6300000000,59204.0200000000,15357.7451900000,1541.9128133300,0.5079000900,0.0080857600,6.5100522600,0.0000003300
2024-07-14,59204.0100000000,61420.6900000000,59194.0100000000,60797.9100000000,21178.3390700000,-707.8486341600,0.4113462500,0.0058687200,11.8393508700,0.0000006000
2024-07-15,60797.9100000000,64900.0000000000,60632.3000000000,64724.1400000000,38690.9782000000,-4881.8326385700,0.3451903100,0.0013888000,10.6969568100,0.0000005400
2024-07-16,64724.0600000000,65388.9700000000,62373.2400000000,65043.9900000000,42530.5291500000,-2410.7152381300,0.3130134900,0.0014898100,7.5396050800,0.0000003800
2024-07-17,65044.0000000000,66128.6300000000,63854.0000000000,64087.9900000000,29567.5295400000,1501.4103509600,0.3725282300,0.0023568500,12.0227248100,0.0000006100
2024-07-18,64087.9900000000,65133.3000000000,63238.4800000000,63987.9200000000,22568.7225000000,-479.3122812600,0.4289913100,0.0028226800,29.2189833500,0.0000014800
2024-07-19,63987.9200000000,67386.0000000000,63300.6700000000,66660.0000000000,35634.7273900000,-4566.7018210600,0.3297934800,0.0023545400,36.5330138000,0.0000018500
2024-07-20,66660.0100000000,67598.0000000000,66222.4600000000,67139.9600000000,14386.9243400000,-314.2632107100,0.4010216600,0.0007044000,6.1829194600,0.0000003100
2024-07-21,67139.9700000000,68366.6600000000,65777.0000000000,68165.3400000000,21819.1119100000,-1349.4243300400,0.5261292200,0.0007784900,6.7502952100,0.0000003400
2024-07-22,68165.3500000000,68474.5500000000,66559.9700000000,67532.0100000000,21451.0430300000,-641.4250855900,0.3858478700,0.0047933200,9.1003345800,0.0000004600
